stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
724094-54743,724094,54743,"ESSEX CO",US,US,NJ,KCDW,40.876,-74.283,53.3,20060101,20140313
724094-99999,724094,99999,"ESSEX CO",US,US,NJ,KCDW,40.883,-74.283,53.0,19810805,20051231
724095-14792,724095,14792,"TRENTON MERCER",US,US,NJ,KTTN,40.277,-74.816,64.9,19730101,20140313
724095-99999,724095,99999,"TRENTON MERCER",US,US,NJ,KTTN,40.267,-74.8,65.0,20000101,20031231
724096-14706,724096,14706,"MC GUIRE AFB",US,US,NJ,KWRI,40.017,-74.6,40.5,19420801,20140313
724096-99999,724096,99999,"MC GUIRE AFB",US,US,NJ,KWRI,40.017,-74.583,40.0,20000101,20041231
724097-54738,724097,54738,"MORRISTOWN MUNI",US,US,NJ,KMMU,40.8,-74.417,57.0,20060101,20140313
724097-99999,724097,99999,"MORRISTOWN MUNI",US,US,NJ,KMMU,40.8,-74.417,57.0,19810112,20051231
724098-99999,724098,99999,"AMBROSE/FT TILDEN",US,US,NY,KN28,40.45,-73.817,1.0,19750915,19870430
724099-99999,724099,99999,"SANDY HOOK (CGS)",US,US,NJ,K56N,40.467,-74.017,5.0,19750911,19960627
724100-13733,724100,13733,"LYNCHBURG/MUN. P. G",US,US,VA,KLYH,37.321,-79.207,285.9,19340623,20140313
724104-99999,724104,99999,"SOMERSET ARPT ASOS",US,US,NJ,KSMQ,40.633,-74.667,32.0,19990114,20050208
724105-93760,724105,93760,"SHENANDOAH VALLEY RG",US,US,VA,KSHD,38.264,-78.896,366.1,20060101,20140313
724105-99999,724105,99999,"SHENANDOAH VALLEY RG",US,US,VA,KSHD,38.267,-78.9,366.0,19730101,20051231
724106-13728,724106,13728,"DANVILLE RGNL",US,US,VA,KDAN,36.573,-79.336,179.8,19730101,20140313
724106-99999,724106,99999,"DANVILLE RGNL",US,US,VA,KDAN,36.567,-79.333,174.0,20000101,20031231
724107-53895,724107,53895,"TWIN COUNTY",US,US,VA,KHLX,36.766,-80.823,820.8,20060101,20140313
724107-99999,724107,99999,"TWIN COUNTY",US,US,VA,KHLX,36.767,-80.817,821.0,19950101,20051231
724110-13741,724110,13741,"ROANOKE MUNICIPAL",US,US,VA,KROA,37.317,-79.974,358.4,19340701,20140313
724113-53881,724113,53881,"VIRGINIA TECH ARPT",US,US,VA,KBCB,37.208,-80.408,649.8,20060101,20140313
724113-99999,724113,99999,"VIRGINIA TECH ARPT",US,US,VA,KBCB,37.208,-80.408,650.0,19941016,20051231
724115-93757,724115,93757,"INGALLS FLD",US,US,VA,KHSP,37.95,-79.817,1155.8,20060101,20140313
724115-99999,724115,99999,"INGALLS FLD",US,US,VA,KHSP,37.95,-79.833,1156.0,19730101,20051231
724116-13868,724116,13868,"DUBLIN/NEW RIV VLLY",US,US,VA,KPSK,37.133,-80.683,641.6,19940818,20140313
724116-99999,724116,99999,"DUBLIN/NEW RIV VLLY",US,US,VA,KPSK,37.133,-80.683,642.0,20000101,20031231
724117-63802,724117,63802,"LONESOME PINE",US,US,VA,KLNP,36.988,-82.53,818.1,20060101,20140313
724117-99999,724117,99999,"LONESOME PINE",US,US,VA,KLNP,36.983,-82.533,818.0,19800227,20051231
724118-93797,724118,93797,"MECKLENBURG BRUNSWI",US,US,VA,KAVC,36.688,-78.054,134.7,20060101,20140313
724118-99999,724118,99999,"MECKLENBURG BRUNSWI",US,US,VA,KAVC,36.683,-78.05,135.0,19970123,20051231
724120-03872,724120,03872,"BECKLEY /RALEIGH CT",US,US,WV,KBKW,37.784,-81.123,766.3,19730101,20140313
724125-03859,724125,03859,"MERCER CO",US,US,WV,KBLF,37.296,-81.208,873.9,20000101,20140313
724125-99999,724125,99999,"MERCER CO",US,US,WV,KBLF,37.296,-81.208,871.0,19730101,19991231
724126-99999,724126,99999,"WHITE SULPHUR SPRNG",US,US,WV,KSSU,37.767,-80.333,549.0,19730101,19861008
724127-53801,724127,53801,"GREENBRIER VALLEY",US,US,WV,KLWB,37.867,-80.4,701.6,20060101,20140313
724127-99999,724127,99999,"GREENBRIER VALLEY",US,US,WV,KLWB,37.858,-80.399,702.0,19730101,20051231
724130-99999,724130,99999,"",US,US,,,,,None,19730101,19760304
724131-99999,724131,99999,"PIKEVILLE (RAMOS)",US,US,KY,5I3,37.483,-82.517,209.0,19760305,19900206
724133-99999,724133,99999,"PIKEVILLE (RAMOS)",US,US,KY,K5I3,37.483,-82.517,446.0,19900208,19920729
724140-13866,724140,13866,"YEAGER",US,US,WV,KCRW,38.379,-81.59,299.3,19351021,20140313
724145-99999,724145,99999,"CHARLESTON NEXRAD",US,US,WV,KRLX,38.317,-81.717,364.0,,
724165-03725,724165,03725,"GRANT CO",US,US,WV,KW99,38.994,-79.144,292.6,20060101,20140313
724165-99999,724165,99999,"GRANT CO",US,US,WV,KW99,38.983,-79.15,294.0,20010811,20051231
724170-13729,724170,13729,"ELKINS-RANDOLPH COU",US,US,WV,KEKN,38.885,-79.853,603.2,19350718,20140313
724175-03802,724175,03802,"HARRISON MARION RGN",US,US,WV,KCKB,39.296,-80.229,366.7,20060101,20140313
724175-99999,724175,99999,"HARRISON MARION RGN",US,US,WV,KCKB,39.283,-80.217,371.0,19730101,20051231
724176-13736,724176,13736,"MORGANTOWN MUNI WAL",US,US,WV,KMGW,39.643,-79.916,381.9,19730101,20140313
724177-13734,724177,13734,"EASTERN WV RGNL SHE",US,US,WV,KMRB,39.402,-77.984,162.8,19730101,20140313
724180-13781,724180,13781,"WILMINGTON NEW CASTL",US,US,DE,KILG,39.673,-75.601,24.4,20100801,20140313
724180-99999,724180,99999,"WILMINGTON NEW CASTL",US,US,DE,KILG,39.667,-75.6,23.0,,
724190-99999,724190,99999,"JULIAN CARROLL",US,US,KY,KJKL,37.593,-83.317,421.0,,
724200-99999,724200,99999,"MANSFIELD LAHM RGNL",US,US,OH,KMFD,40.817,-82.517,396.0,,
724210-93814,724210,93814,"CINCINNATI/GREATER",US,US,KY,KCVG,39.043,-84.672,269.1,19470315,20140313
724220-93820,724220,93820,"LEXINGTON/BLUE GRAS",US,US,KY,KLEX,38.041,-84.606,301.4,18930101,20140313
724223-99999,724223,99999,"BLUE GRASS STATION",US,US,KY,KLSD,38.083,-84.3,310.0,,
724230-93821,724230,93821,"LOUISVILLE/STANDIFO",US,US,KY,KSDF,38.181,-85.739,148.7,19300101,20140313
724233-53841,724233,53841,"CAPITAL CITY ARPT",US,US,KY,KFFT,38.185,-84.903,245.1,20060101,20140313
724233-99999,724233,99999,"CAPITAL CITY ARPT",US,US,KY,KFFT,38.183,-84.9,245.0,19970123,20051231
